Date,Close,Open,High,Low,Volume,Change
"Nov 30, 2006",377,371,378,363,49.72K,1.82%
"Nov 29, 2006",370.25,368.5,371.5,361.25,74.29K,0.41%
"Nov 28, 2006",368.75,371.5,373.5,364.5,63.71K,-0.74%
"Nov 27, 2006",371.5,369.25,376.75,366.5,90.35K,0.61%
"Nov 24, 2006",369.25,362.5,370,362,31.78K,1.79%
"Nov 22, 2006",362.75,361.5,365.75,357.5,35.03K,0.42%
"Nov 21, 2006",361.25,359.5,362,357,72.24K,0.35%
"Nov 20, 2006",360,356.75,372,356.75,107.72K,1.34%
"Nov 17, 2006",355.25,351.25,356,345.5,105.65K,1.07%
"Nov 16, 2006",351.5,356.75,365,349.5,77.12K,-1.88%
"Nov 15, 2006",358.25,358,366,354,158.43K,0.14%
"Nov 14, 2006",357.75,342,361.75,341.5,168.20K,4.45%
"Nov 13, 2006",342.5,341,352.25,340.25,168.04K,-0.22%
"Nov 10, 2006",343.25,349.5,350.25,342,150.28K,-1.93%
"Nov 09, 2006",350,358.75,362.25,349,214.63K,-2.17%
"Nov 08, 2006",357.75,351.25,367,350.75,224.93K,1.92%
"Nov 07, 2006",351,344,352.5,341.25,167.13K,2.18%
"Nov 06, 2006",343.5,342.25,346.5,338.75,121.81K,0.37%
"Nov 03, 2006",342.25,343.75,348,339.75,138.42K,-0.73%
"Nov 02, 2006",344.75,335.25,353.5,335.25,202.64K,3.37%
"Nov 01, 2006",333.5,320.75,335,320.5,143.87K,3.98%
"Oct 31, 2006",320.75,329.25,330.25,320,169.57K,-2.66%
"Oct 30, 2006",329.5,330,333,327.25,112.43K,-0.90%
"Oct 27, 2006",332.5,327,334,326.5,93.25K,1.68%
"Oct 26, 2006",327,326,328.5,321.75,104.28K,0.00%
"Oct 25, 2006",327,324.75,334,324.25,122.98K,0.85%
"Oct 24, 2006",324.25,318,326.75,316,119.75K,1.89%
"Oct 23, 2006",318.25,311.5,320.5,307,119.01K,1.76%
"Oct 20, 2006",312.75,316,319,311.5,82.03K,-1.03%
"Oct 19, 2006",316,315,321.75,314,111.41K,0.16%
"Oct 18, 2006",315.5,319.75,320.5,313.5,113.22K,-1.71%
"Oct 17, 2006",321,316.5,324.5,315.75,136.19K,1.34%
"Oct 16, 2006",316.75,313.75,317.5,309.25,153.61K,0.72%
"Oct 13, 2006",314.5,298.25,317,298.25,157.13K,5.45%
"Oct 12, 2006",298.25,284,304,279.5,188.90K,5.02%
"Oct 11, 2006",284,275.5,289.5,275.25,166.84K,3.09%
"Oct 10, 2006",275.5,288.5,293,275,181.40K,-4.84%
"Oct 09, 2006",289.5,271.25,291,270,169.93K,6.83%
"Oct 06, 2006",271,271,276,269.75,119.02K,-0.28%
"Oct 05, 2006",271.75,273,276.25,269.25,208.60K,-0.91%
"Oct 04, 2006",274.25,264,276,261.5,151.67K,3.88%
"Oct 03, 2006",264,267.25,267.25,261.75,103.12K,-1.40%
"Oct 02, 2006",267.75,263.25,270,263.25,116.70K,2.00%
"Sep 29, 2006",262.5,264,268,261.5,171.61K,-0.66%
"Sep 28, 2006",264.25,254,265,253.75,188.50K,4.14%
"Sep 27, 2006",253.75,259,261,253.5,108.28K,-2.03%
"Sep 26, 2006",259,254.5,260,254.5,104.03K,1.67%
"Sep 25, 2006",254.75,254.75,254.75,254.75,108.27K,-0.20%
"Sep 22, 2006",255.25,256.5,257.75,254.5,121.99K,-0.78%
"Sep 21, 2006",257.25,248.75,257.75,248.25,181.28K,3.31%
"Sep 20, 2006",249,246.5,249.75,245.5,100.70K,1.01%
"Sep 19, 2006",246.5,247.25,249.5,244.5,96.58K,-0.50%
"Sep 18, 2006",247.75,242.75,248.75,242.25,128.01K,2.48%
"Sep 15, 2006",241.75,236,242.75,236,118.05K,8.41%
"Sep 14, 2006",223,224.75,227,223,0.97K,-0.45%
"Sep 13, 2006",224,224,225.75,222.25,2.68K,0.22%
"Sep 12, 2006",223.5,228.25,228.25,223,5.46K,-2.30%
"Sep 11, 2006",228.75,232,232.25,225,7.13K,-1.29%
"Sep 08, 2006",231.75,231.5,233,229.5,7.72K,0.43%
"Sep 07, 2006",230.75,226.25,231.75,224.25,13.07K,1.99%
"Sep 06, 2006",226.25,228,231.75,226,27.67K,-1.09%
"Sep 05, 2006",228.75,231.5,234,228.25,25.35K,-0.54%
"Sep 01, 2006",230,231.5,232,229.5,34.54K,-0.86%
"Aug 31, 2006",232,228,232.25,227,42.95K,1.53%
"Aug 30, 2006",228.5,222.5,229.25,222,67.74K,2.58%
"Aug 29, 2006",222.75,224,225.5,222.5,46.81K,-0.78%
"Aug 28, 2006",224.5,225,227.5,224,33.04K,-0.22%
"Aug 25, 2006",225,227,228.25,223.5,29.87K,-1.10%
"Aug 24, 2006",227.5,223.5,228,223.5,29.36K,1.79%
"Aug 23, 2006",223.5,219.5,225,218.75,30.08K,1.82%
"Aug 22, 2006",219.5,221,221.75,218.5,32.07K,-0.68%
"Aug 21, 2006",221,219.75,221.5,219,20.26K,0.57%
"Aug 18, 2006",219.75,219,220.75,217,24.60K,0.34%
"Aug 17, 2006",219,221.25,223.75,217.75,43.26K,-1.13%
"Aug 16, 2006",221.5,222,225.25,221.25,39.13K,-0.23%
"Aug 15, 2006",222,222,223.25,216.75,37.90K,0.00%
"Aug 14, 2006",222,224.75,224.75,218,64.74K,-1.22%
"Aug 11, 2006",224.75,238.75,240,224.25,87.26K,-5.86%
"Aug 10, 2006",238.75,240,240.75,238.5,57.19K,-0.42%
"Aug 09, 2006",239.75,236,240.25,235.5,66.67K,1.70%
"Aug 08, 2006",235.75,239.25,239.5,235,65.02K,-1.67%
"Aug 07, 2006",239.75,243,243,238.75,60.63K,-2.14%
"Aug 04, 2006",245,245,248.75,243.75,36.45K,0.00%
"Aug 03, 2006",245,246,247.25,244,29.24K,-0.91%
"Aug 02, 2006",247.25,240.75,248.5,240.75,74.67K,2.81%
"Aug 01, 2006",240.5,239.75,242,237.25,54.87K,0.63%
"Jul 31, 2006",239,239.25,240.5,237,73.59K,0.74%
"Jul 28, 2006",237.25,238,239.25,236.5,27.16K,-0.21%
"Jul 27, 2006",237.75,236,238.5,235.5,34.85K,0.74%
"Jul 26, 2006",236,240,242.25,235.75,39.84K,-1.46%
"Jul 25, 2006",239.5,240.5,244.25,239.25,40.60K,0.21%
"Jul 24, 2006",239,237.25,240.5,235.25,33.38K,0.74%
"Jul 21, 2006",237.25,242,243.25,235.25,48.83K,-2.16%
"Jul 20, 2006",242.5,243.25,248.25,241,35.32K,-0.92%
"Jul 19, 2006",244.75,246.75,247.25,238.75,60.77K,-0.71%
"Jul 18, 2006",246.5,252,253.75,244.25,56.98K,-2.09%
"Jul 17, 2006",251.75,259.5,259.5,251.5,38.65K,-0.69%
"Jul 14, 2006",253.5,248.5,255,248.5,0.69K,0.40%
"Jul 13, 2006",252.5,256.75,256.75,252,2.54K,-2.60%
"Jul 12, 2006",259.25,253.5,259.5,249.5,8.71K,2.17%
"Jul 11, 2006",253.75,250,255,249.5,8.38K,2.42%
"Jul 10, 2006",247.75,246.5,251.25,243,10.80K,2.80%
"Jul 07, 2006",241,246.75,246.75,238,13.12K,-1.73%
"Jul 06, 2006",245.25,242,246.75,242,22.23K,2.40%
"Jul 05, 2006",239.5,246,247,238.25,27.86K,-1.54%
"Jul 03, 2006",243.25,239.25,244,237.5,34.17K,3.29%
"Jun 30, 2006",235.5,229.5,236,229.5,32.47K,3.06%
"Jun 29, 2006",228.5,225.5,230,225.25,67.00K,1.11%
"Jun 28, 2006",226,225.25,228.5,222.75,54.98K,0.33%
"Jun 27, 2006",225.25,223.25,225.75,221.5,51.54K,1.01%
"Jun 26, 2006",223,227,227,221,58.57K,-2.30%
"Jun 23, 2006",228.25,230.5,231.25,227.75,36.54K,-0.98%
"Jun 22, 2006",230.5,232.75,234,229.75,38.50K,-0.97%
"Jun 21, 2006",232.75,229.75,233.5,229.5,35.96K,1.31%
"Jun 20, 2006",229.75,230.25,231,227.75,50.14K,0.00%
"Jun 19, 2006",229.75,234,235,229.5,58.38K,-2.44%
"Jun 16, 2006",235.5,234,237.25,233.75,60.38K,1.07%
